Concentration,Compound,Cytotoxicity
40.0,Mix19,4.41e-18
80.0,Mix19,2.04e-11
160.0,Mix19,0.000352942
320.0,Mix19,9.970159254
640.0,Mix19,94.20231623
1280.0,Mix19,101.9905124
2560.0,Mix19,102.0
0.1,Mix20,6.03e-09
5.0,Mix20,1.02e-08
10.0,Mix20,1.71e-08
20.0,Mix20,4.68e-08
40.0,Mix20,3.07e-07
80.0,Mix20,8.19e-06
160.0,Mix20,0.001230221
320.0,Mix20,0.444418785
640.0,Mix20,29.60664946
1280.0,Mix20,98.10379278
2560.0,Mix20,104.9794613
0.1,Mix21,3.255186232
5.0,Mix21,3.411750884
10.0,Mix21,3.578994185
20.0,Mix21,3.937479582
40.0,Mix21,4.7603908
80.0,Mix21,6.91926867
160.0,Mix21,14.13007573
320.0,Mix21,44.86337454
640.0,Mix21,96.82778668
1280.0,Mix21,101.9904161
2560.0,Mix21,102.0
0.1,Mix22,0.281474249
5.0,Mix22,0.305025951
10.0,Mix22,0.331084056
20.0,Mix22,0.390041936
40.0,Mix22,0.54114299
80.0,Mix22,1.03956162
160.0,Mix22,3.768311876
320.0,Mix22,35.23894329
640.0,Mix22,99.05720625
1280.0,Mix22,99.99997447
2560.0,Mix22,100.0
0.1,Mix23,0.000955189
5.0,Mix23,0.00152915
10.0,Mix23,0.002423346
20.0,Mix23,0.005751778
40.0,Mix23,0.026396631
80.0,Mix23,0.282888515
160.0,Mix23,5.110273036
320.0,Mix23,46.81281947
640.0,Mix23,95.97151685
1280.0,Mix23,100.9772524
2560.0,Mix23,100.9999996
0.1,Mix25,0.152049379
5.0,Mix25,0.167078679
10.0,Mix25,0.183944194
20.0,Mix25,0.222942502
40.0,Mix25,0.327407909
80.0,Mix25,0.704907827
160.0,Mix25,3.208500853
320.0,Mix25,41.71803655
640.0,Mix25,98.21922906
1280.0,Mix25,98.49999876
2560.0,Mix25,98.5
0.1,Mix28,3.1e-102
5.0,Mix28,5.49e-44
10.0,Mix28,5.69e-34
20.0,Mix28,2.57e-24
40.0,Mix28,2.36e-15
80.0,Mix28,1.15e-07
160.0,Mix28,0.041619986
320.0,Mix28,23.69823964
640.0,Mix28,94.04663371
1280.0,Mix28,99.59051387
2560.0,Mix28,99.59999997
0.1,Mix30,0.0
5.0,Mix30,0.0
10.0,Mix30,2.8543176353953e-311
20.0,Mix30,5.99e-183
40.0,Mix30,1.11e-81
80.0,Mix30,9.79e-21
160.0,Mix30,1.234314785
320.0,Mix30,97.418865
640.0,Mix30,100.9997531
1280.0,Mix30,101.0
2560.0,Mix30,101.0
0.1,Mix31,5.03e-41
5.0,Mix31,3.22e-17
10.0,Mix31,3.99e-13
20.0,Mix31,3.52e-09
40.0,Mix31,1.62e-05
80.0,Mix31,0.02243375
160.0,Mix31,4.201033768
320.0,Mix31,56.16709441
640.0,Mix31,98.65935659
1280.0,Mix31,100.9960685
2560.0,Mix31,101.0
0.1,Mix32,0.073864829
5.0,Mix32,0.082729386
10.0,Mix32,0.092871342
20.0,Mix32,0.117033137
40.0,Mix32,0.185812496
80.0,Mix32,0.467717184
160.0,Mix32,2.907778968
320.0,Mix32,55.16260875
640.0,Mix32,100.9491043
1280.0,Mix32,101.0
2560.0,Mix32,101.0
0.1,Mix33,0.001196194
5.0,Mix33,0.001409975
10.0,Mix33,0.001667548
20.0,Mix33,0.002332447
40.0,Mix33,0.004563255
80.0,Mix33,0.017464761
160.0,Mix33,0.255264189
320.0,Mix33,35.10168323
640.0,Mix33,97.1962689
1280.0,Mix33,97.2
2560.0,Mix33,97.2
0.1,Mix34,0.008198833
5.0,Mix34,0.010254487
10.0,Mix34,0.01288417
20.0,Mix34,0.020339104
40.0,Mix34,0.050677483
80.0,Mix34,0.313973728
160.0,Mix34,10.82890808
320.0,Mix34,98.75817126
640.0,Mix34,99.29999975
1280.0,Mix34,99.3
2560.0,Mix34,99.3
0.1,Mix35,6.32e-66
5.0,Mix35,4.17e-28
10.0,Mix35,1.3300000000000001e-21
20.0,Mix35,2.47e-15
40.0,Mix35,1.63e-09
80.0,Mix35,0.000159073
160.0,Mix35,0.648239738
320.0,Mix35,39.88027778
640.0,Mix35,97.59600629
1280.0,Mix35,101.2937357
2560.0,Mix35,101.3
0.1,Mix36,0.0
5.0,Mix36,0.0
10.0,Mix36,0.0
20.0,Mix36,0.0
40.0,Mix36,3.41e-222
80.0,Mix36,7.01e-119
160.0,Mix36,3.79e-44
320.0,Mix36,4.1e-07
640.0,Mix36,45.58879912
1280.0,Mix36,98.44389418
2560.0,Mix36,98.56999965
0.1,Mix37,1.372152485
5.0,Mix37,1.498086593
10.0,Mix37,1.638313497
20.0,Mix37,1.958563024
40.0,Mix37,2.793403085
80.0,Mix37,5.612413796
160.0,Mix37,20.28353338
320.0,Mix37,82.09592321
640.0,Mix37,99.53690463
1280.0,Mix37,99.59999944
2560.0,Mix37,99.6
0.1,Mix38,0.081506396
5.0,Mix38,0.09374319
10.0,Mix38,0.108123297
20.0,Mix38,0.143829561
40.0,Mix38,0.254410612
80.0,Mix38,0.793447926
160.0,Mix38,7.290781684
320.0,Mix38,88.37644085
640.0,Mix38,99.99859297
1280.0,Mix38,100.0
2560.0,Mix38,100.0
0.1,Mix39,1.192046141
5.0,Mix39,1.275174676
10.0,Mix39,1.365896403
20.0,Mix39,1.566850767
40.0,Mix39,2.059881604
80.0,Mix39,3.541886345
160.0,Mix39,10.0697477
320.0,Mix39,51.20329714
640.0,Mix39,99.87337831
1280.0,Mix39,100.9998467
2560.0,Mix39,101.0
0.1,Mix40,0.071853671
5.0,Mix40,0.080851403
10.0,Mix40,0.0911941
20.0,Mix40,0.116013068
40.0,Mix40,0.187711176
80.0,Mix40,0.490628146
160.0,Mix40,3.276971583
320.0,Mix40,61.14027395
640.0,Mix40,98.87264726
1280.0,Mix40,98.89999999
2560.0,Mix40,98.9
0.1,Mix41,0.211996466
5.0,Mix41,0.230438818
10.0,Mix41,0.250908093
20.0,Mix41,0.297445845
40.0,Mix41,0.417900462
80.0,Mix41,0.823510119
160.0,Mix41,3.147748401
320.0,Mix41,33.09806448
640.0,Mix41,97.65927185
1280.0,Mix41,98.47998502
2560.0,Mix41,98.48
0.1,Mix42,0.0
5.0,Mix42,0.0
10.0,Mix42,0.0
20.0,Mix42,0.0
40.0,Mix42,4.5800000000000006e-208
80.0,Mix42,2.82e-54
160.0,Mix42,0.001493485
320.0,Mix42,91.56668085
640.0,Mix42,100.2993812
1280.0,Mix42,100.3
2560.0,Mix42,100.3
0.1,Mix44,0.0
5.0,Mix44,7.420000000000001e-185
10.0,Mix44,7.25e-134
20.0,Mix44,1.5500000000000001e-86
40.0,Mix44,6.0899999999999995e-46
80.0,Mix44,1.41e-16
160.0,Mix44,0.05021131
320.0,Mix44,72.81939366
640.0,Mix44,98.54042037
1280.0,Mix44,98.58999986
2560.0,Mix44,98.59
0.1,Mix45,0.0
5.0,Mix45,0.0
10.0,Mix45,0.0
20.0,Mix45,0.0
40.0,Mix45,0.0
80.0,Mix45,0.0
160.0,Mix45,7.09e-12
320.0,Mix45,94.02490799
640.0,Mix45,98.86998628
1280.0,Mix45,98.87
2560.0,Mix45,98.87
0.1,Mix46,0.470234946
5.0,Mix46,0.499867422
10.0,Mix46,0.532020205
20.0,Mix46,0.602625484
40.0,Mix46,0.772965549
80.0,Mix46,1.269716181
160.0,Mix46,3.387085441
320.0,Mix46,20.7152462
640.0,Mix46,94.88216406
1280.0,Mix46,101.5976348
2560.0,Mix46,101.6
0.1,Mix47,4.57e-79
5.0,Mix47,7.65e-38
10.0,Mix47,1.2000000000000001e-30
20.0,Mix47,1.4000000000000002e-23
40.0,Mix47,9.06e-17
80.0,Mix47,1.9e-10
160.0,Mix47,5.04e-05
320.0,Mix47,0.422252237
640.0,Mix47,37.11390171
1280.0,Mix47,98.14595799
2560.0,Mix47,102.1931327
0.1,Mix48,0.085168409
5.0,Mix48,0.097157852
10.0,Mix48,0.111131461
20.0,Mix48,0.14538772
40.0,Mix48,0.248746451
80.0,Mix48,0.72615301
160.0,Mix48,5.920338055
320.0,Mix48,82.15506283
640.0,Mix48,99.73610527
1280.0,Mix48,99.74
2560.0,Mix48,99.74
